participantId,group,distanceCondition,stepFromNewGoal,posterior
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,closer_to_player2,5,0.5081342871482177
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,equal_to_both,0,0.5
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,equal_to_both,1,0.5294936473348867
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,equal_to_both,2,0.7837404559851654
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,equal_to_both,3,0.9223855583814817
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,equal_to_both,4,0.9499239007137211
human_74ea1778-cc30-4c70-92fe-ee112edef228_player1,Human-Human,equal_to_both,5,0.9728001965058405
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,closer_to_player1,0,0.5
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,closer_to_player1,1,0.6663865121579194
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,closer_to_player1,2,0.016199494406152586
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,closer_to_player1,3,0.9974620527564545
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,closer_to_player1,4,0.9999994160148351
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,closer_to_player2,0,0.5
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,closer_to_player2,1,0.7522729293055819
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,closer_to_player2,2,0.5031787232258744
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,closer_to_player2,3,0.5644907054173365
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,closer_to_player2,4,0.5191512750958277
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,closer_to_player2,5,0.6819747015397162
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,equal_to_both,0,0.5
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,equal_to_both,1,0.8623331686079408
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,equal_to_both,2,0.8928941182115633
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,equal_to_both,3,0.9225084097021692
human_74ea1778-cc30-4c70-92fe-ee112edef228_player2,Human-Human,equal_to_both,4,0.9248859602341392
