lambda,p_signal,negative_log_likelihood
0.2,0.35,4702.83321565613
0.2,0.4,4772.323002188849
0.2,0.45,4849.533076889617
0.2,0.5,4935.580506357785
0.2,0.55,5031.9304261102525
0.2,0.6,5140.5437457422595
0.2,0.65,5264.115512751931
0.2,0.7,5406.479638179054
0.2,0.75,5573.34177704493
0.2,0.8,5773.72225513073
0.2,0.85,6023.137910128915
0.2,0.9,6351.865585446599
0.2,0.95,6832.865839505414
0.2,1.0,7744.908224782375
0.3,0.0,4330.644584624233
0.3,0.05,4361.6446499492695
0.3,0.1,4397.151164920634
0.3,0.15,4437.333439851944
0.3,0.2,4482.430147721303
0.3,0.25,4532.759379974703
0.3,0.3,4588.7334323216155
0.3,0.35,4650.879969723787
0.3,0.4,4719.872187833386
0.3,0.45,4796.572162975039
0.3,0.5,4882.094262263063
0.3,0.55,4977.900253705222
0.3,0.6,5085.946668944676
0.3,0.65,5208.922603416908
0.3,0.7,5350.653464460661
0.3,0.75,5516.83205158184
0.3,0.8,5716.457921502694
0.3,0.85,5965.011536186685
0.3,0.9,6292.699311802442
0.3,0.95,6772.330274887981
0.3,1.0,7683.932077750673
0.5,0.0,4251.402390525825
0.5,0.05,4281.860151461383
0.5,0.1,4316.817322644687
0.5,0.15,4356.44163645215
0.5,0.2,4400.970160133403
0.5,0.25,4450.71931242442
0.5,0.3,4506.0996085709785
0.5,0.35,4567.6367802758205
0.5,0.4,4636.001884611276
0.5,0.45,4712.054589693088
0.5,0.5,4796.906502390289
0.5,0.55,4892.016167830062
0.5,0.6,4999.336275861543
0.5,0.65,5121.5512262350885
0.5,0.7,5262.480494494849
0.5,0.75,5427.809024590202
0.5,0.8,5626.52518911634
0.5,0.85,5874.091586403762
0.5,0.9,6200.680523459188
0.5,0.95,6679.0191444077955
0.5,1.0,7590.605007408731
0.75,0.0,4219.690273675526
0.75,0.05,4249.713260923952
0.75,0.1,4284.226589542424
0.75,0.15,4323.396679304444
0.75,0.2,4367.459081469824
0.75,0.25,4416.728439752513
0.75,0.3,4471.613161851573
0.75,0.35,4532.636440583281
0.75,0.4,4600.466227353858
0.75,0.45,4675.958328231914
0.75,0.5,4760.219459877706
0.75,0.55,4854.701848788418
0.75,0.6,4961.349829417998
0.75,0.65,5082.836449446319
0.75,0.7,5222.965250279386
0.75,0.75,5387.397886891666
