sessionIndex,trialIndex,mapId,distanceCondition,firstDetectedSharedGoal,newGoalPresentedTime,posteriorEvidenceSteps,two_goal_shared_posterior,three_goal_shared_raw_posterior,three_goal_old_alternative_raw_posterior,three_goal_new_raw_posterior,three_goal_shared_scaled_posterior
18,9,306,closer_to_player2,0,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164577635e-08,0.3333333333333333,0.6666666495647865
18,10,307,equal_to_both,0,7.0,7,0.9999999999986077,0.6666666666657385,9.282594623910452e-13,0.3333333333333333,0.6666666666663572
18,11,308,equal_to_both,0,1.0,1,0.9999819075908669,0.666654605060578,1.2061606088706067e-05,0.3333333333333333,0.6666626460828091
19,1,298,equal_to_both,0,2.0,2,0.9999999230415427,0.6666666153610286,5.130563816457762e-08,0.3333333333333333,0.6666666495647865
19,2,299,closer_to_player1,0,5.0,5,0.9999999999999941,0.6666666666666627,3.948403368937895e-15,0.33333333333333326,0.6666666666666654
19,3,300,closer_to_player2,1,5.0,5,0.9999999996726529,0.6666666664484353,2.182314086796606e-10,0.3333333333333333,0.6666666665939229
19,4,301,closer_to_player2,0,5.0,5,0.9999999230415427,0.6666666153610286,5.130563816457762e-08,0.3333333333333333,0.6666666495647865
19,5,302,closer_to_player1,1,4.0,4,0.9999999999986076,0.6666666666657385,9.282594623910408e-13,0.3333333333333333,0.6666666666663572
19,6,303,equal_to_both,0,3.0,3,0.9999999230415428,0.6666666153610286,5.13056381645776e-08,0.33333333333333326,0.6666666495647865
19,10,307,closer_to_player1,0,4.0,4,0.9999999996726529,0.6666666664484353,2.182314086796613e-10,0.3333333333333333,0.6666666665939229
20,0,297,equal_to_both,1,3.0,3,0.9999999230415428,0.6666666153610286,5.130563816457761e-08,0.33333333333333326,0.6666666495647865
20,2,299,closer_to_player1,1,5.0,5,0.9999999996726529,0.6666666664484353,2.182314086796602e-10,0.3333333333333333,0.6666666665939229
20,3,300,closer_to_player2,1,8.0,8,0.9999999999986077,0.6666666666657385,9.28259462391042e-13,0.3333333333333333,0.6666666666663572
20,5,302,equal_to_both,1,2.0,2,0.9999819075908669,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
20,7,304,closer_to_player1,0,5.0,5,0.9999999996726529,0.6666666664484353,2.182314086796602e-10,0.3333333333333333,0.6666666665939229
20,8,305,closer_to_player1,1,2.0,2,0.9999819075908669,0.666654605060578,1.2061606088705998e-05,0.3333333333333333,0.6666626460828091
20,11,308,closer_to_player2,0,3.0,3,0.9999999996726529,0.6666666664484353,2.182314086796614e-10,0.3333333333333333,0.6666666665939229
21,0,297,closer_to_player1,0,4.0,4,0.9999999996726529,0.6666666664484353,2.182314086796602e-10,0.3333333333333333,0.6666666665939229
21,3,300,closer_to_player2,0,5.0,5,0.9999999999999941,0.6666666666666627,3.948403368937888e-15,0.33333333333333326,0.6666666666666654
21,4,301,equal_to_both,1,4.0,4,0.9999999230415427,0.6666666153610286,5.1305638164577714e-08,0.3333333333333333,0.6666666495647865
21,5,302,closer_to_player1,1,4.0,4,0.9999999996726529,0.6666666664484353,2.1823140867966121e-10,0.3333333333333333,0.6666666665939229
21,7,304,closer_to_player2,1,5.0,5,0.999981907590867,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
21,8,305,equal_to_both,1,6.0,6,0.9999999999986077,0.6666666666657385,9.28259462391043e-13,0.3333333333333333,0.6666666666663572
21,9,306,closer_to_player1,1,3.0,3,0.999981907590867,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
